code,D10,D30,D50,D60,D90,Cu,Cc,clay_pct,silt_pct,sand_pct,bulk_density,particle_density,porosity,void_ratio,Gs,OM_content,pH,EC,theta_s,theta_r
2630,0.001,0.0124999999999999,0.2272727272727272,0.5818181818181817,1.6454545454545453,,,45.0,55.00000000000001,0.0,1.27,2.72,0.533,1.1413276231263385,2.72,2.6,5.5,,0.4987412359072815,0.0
2462,0.001,0.001,0.0117627118644067,0.0198983050847457,0.0443050847457627,,,97.0,3.0000000000000027,0.0,0.925,,,,,5.68,6.3,,0.6525781264652785,0.0
1350,0.001,0.0132121212121212,0.0310854503464203,0.0403233256351039,0.171743119266055,,,21.5,59.8,18.700000000000006,1.36,2.63,0.483,0.9342359767891684,2.63,0.53,7.4,,0.5247299522380995,0.0176107300764847
3090,0.001,0.001,0.0041450381679389,0.0103141361256544,0.0417277486910994,,,52.8,45.4,1.8000000000000016,1.4,2.58,0.457,0.8416206261510131,2.58,3.85,7.5,0.92,0.4604435962956993,0.0
3103,0.001,0.001,0.0067664670658682,0.0097604790419161,0.044865671641791,,,44.1,54.8,1.100000000000001,1.37,2.64,0.481,0.9267822736030829,2.64,1.8,8.3,,0.7942106237681213,0.0
2532,0.001,0.0185714285714285,0.0812499999999999,0.1484848484848484,0.5714285714285715,267.27272727272697,4.18100791336943,20.0,36.00000000000001,43.99999999999999,1.334,2.64,0.495,0.9801980198019802,2.64,0.47,8.2,,0.4267053153400629,0.0
3262,0.002,0.0159130434782608,0.0298260869565217,0.0367826086956521,0.2236363636363636,18.39130434782609,3.44218316373728,79.0,2.0000000000000018,18.999999999999996,1.36,,,,,,,,0.5062328937362524,0.0489022296889883
4172,0.001,0.030632911392405,0.0935672514619883,0.12,0.1969230769230769,,,23.5,28.700000000000003,47.8,1.59,,,,,0.26,,,0.4154268143516264,0.0022072667232362
2412,0.001,0.0058399999999999,0.0442399999999999,0.3404255319148934,1.5851063829787235,,,53.0,47.0,0.0,1.4,,,,,,,,0.4136034322756885,0.0
1063,0.1261961722488038,0.2458133971291866,0.3919117647058823,0.4654411764705882,0.975563909774436,3.6882352941176464,1.0287269412886064,7.000000000000001,2.8,90.2,1.55,,,,,,,,0.3565248967630457,0.0173069843681629
2591,0.001,0.0155257731958762,0.0485154639175257,0.4114052953156821,1.6028513238289206,,,50.9,49.1,0.0,1.51,2.65,0.43,0.7543859649122806,2.65,1.0,6.9,,0.4027581118263718,0.0
4621,0.001,0.0109230769230769,0.0406666666666666,0.0555384615384615,0.4000000000000001,,,63.0,0.0,37.0,1.21,2.63,0.52,1.0833333333333337,2.63,3.5,6.2,,0.4835892586907599,0.067223745567012
4261,0.0812195121951219,0.1319999999999999,0.1722972972972972,0.1925675675675675,1.429936305732484,2.370952033114195,1.1140491228070173,4.8,3.5000000000000004,91.7,,,,,,1.3,4.3,,0.4726808415009673,0.0
2402,0.001,0.0072173913043478,0.0280869565217391,0.0385217391304347,1.327586206896552,,,71.0,29.000000000000004,0.0,1.31,,,,,,,,0.459186498557757,0.0
1060,0.1035714285714285,0.2280701754385964,0.3538961038961039,0.4188311688311688,0.8542510121457491,4.043887147335423,1.1991072613463858,7.000000000000001,4.199999999999999,88.8,1.55,,,,,,,,0.3553213360003864,0.0
3204,0.0059740259740259,0.0656976744186046,0.1369369369369369,0.1819819819819819,0.4390862944162437,30.462201331766547,3.9701278811923095,16.0,25.8,58.20000000000001,1.67,,,,,0.07,8.1,0.51,0.3992997942302161,0.0
1117,0.001,0.0307999999999999,0.1664937759336099,0.2183609958506224,0.7542372881355934,,,33.800000000000004,8.199999999999996,58.00000000000001,1.75,,,,,,,,0.3606797466996717,0.0
1162,0.001,0.001,0.0056923076923076,0.0426153846153846,0.8448275862068966,,,62.0,3.400000000000003,34.599999999999994,1.54,2.69,0.428,0.7482517482517481,2.69,,,,0.4133714341488566,0.0796863360286669
2432,0.001,0.001,0.0123783783783783,0.0253513513513513,1.0714285714285714,,,79.0,21.0,0.0,1.46,,,,,,,,0.3981661325641371,0.0
1132,0.001,0.0217101449275362,0.1103092783505154,0.1766581632653061,0.5729166666666667,,,42.2,9.700000000000005,48.1,1.77,,,,,,,,0.3458012589225494,0.1131095052101948
1361,0.001,0.001,0.005433628318584,0.0154838709677419,0.0923571428571428,,,51.6,36.0,12.4,1.49,2.65,0.438,0.7793594306049821,2.65,4.379,7.02,,0.4523643669610828,0.0908964560590664
2452,0.001,0.0145217391304347,0.1603773584905661,0.5283018867924528,1.6320754716981134,,,47.0,53.0,0.0,1.14,,,,,,,,0.4636291101831768,0.0
4573,0.001,0.0034347826086956,0.0192909535452322,0.0290709046454767,0.1662162162162163,,,33.6,62.59999999999999,3.8000000000000034,1.58,2.65,0.404,0.6778523489932886,2.65,0.5,4.9,,0.3326299392719733,0.1885566441134587
